method,risk_budget,seed,episodes,success,fixture_correct,parameter_error,force_violation,damage,repeated_failure,path_efficiency,energy,calibration_brier,tail_risk
random_forest_probe_classifier,0.08,7,8,0.62500,1.00000,0.25238,0.12500,0.12500,0.12500,0.56293,2.07450,0.15865,0.37500
random_forest_probe_classifier,0.12,0,8,0.25000,0.75000,0.39052,0.37500,0.12500,0.62500,0.28185,2.37632,0.18169,0.75000
random_forest_probe_classifier,0.12,1,8,0.87500,1.00000,0.25055,0.12500,0.00000,0.00000,0.71847,2.04740,0.12185,0.12500
random_forest_probe_classifier,0.12,2,8,0.25000,1.00000,0.25497,0.00000,0.25000,0.62500,0.29547,2.12663,0.31523,0.75000
random_forest_probe_classifier,0.12,3,8,0.62500,1.00000,0.25851,0.12500,0.25000,0.12500,0.55891,2.10638,0.15457,0.37500
random_forest_probe_classifier,0.12,4,8,0.37500,0.87500,0.32619,0.12500,0.25000,0.62500,0.34305,2.15064,0.27205,0.62500
random_forest_probe_classifier,0.12,5,8,0.62500,1.00000,0.25228,0.00000,0.00000,0.37500,0.51727,2.10025,0.22010,0.37500
random_forest_probe_classifier,0.12,6,8,0.75000,1.00000,0.25412,0.00000,0.00000,0.25000,0.59459,1.99321,0.21920,0.25000
random_forest_probe_classifier,0.12,7,8,0.62500,1.00000,0.25441,0.12500,0.12500,0.12500,0.58609,2.03030,0.16537,0.37500
random_forest_probe_classifier,0.18,0,8,0.37500,0.87500,0.32371,0.37500,0.00000,0.37500,0.41598,2.22921,0.16311,0.62500
random_forest_probe_classifier,0.18,1,8,0.75000,1.00000,0.25188,0.00000,0.12500,0.25000,0.59790,1.99427,0.19628,0.25000
random_forest_probe_classifier,0.18,2,8,0.25000,0.87500,0.32925,0.25000,0.37500,0.50000,0.30407,2.27554,0.20430,0.75000
random_forest_probe_classifier,0.18,3,8,0.75000,0.87500,0.32366,0.25000,0.00000,0.12500,0.60378,2.18734,0.10593,0.25000
random_forest_probe_classifier,0.18,4,8,0.50000,0.87500,0.33054,0.25000,0.12500,0.37500,0.45127,2.24225,0.18721,0.50000
random_forest_probe_classifier,0.18,5,8,0.37500,1.00000,0.25043,0.00000,0.12500,0.50000,0.38529,2.07124,0.24731,0.62500
random_forest_probe_classifier,0.18,6,8,0.50000,0.75000,0.38857,0.37500,0.25000,0.37500,0.43394,2.31750,0.14216,0.50000
random_forest_probe_classifier,0.18,7,8,0.50000,0.87500,0.32253,0.25000,0.12500,0.50000,0.42904,2.24144,0.20055,0.50000
random_forest_probe_classifier,0.25,0,8,0.62500,1.00000,0.25256,0.00000,0.00000,0.37500,0.53224,1.98967,0.19728,0.37500
random_forest_probe_classifier,0.25,1,8,0.12500,0.62500,0.46313,0.50000,0.50000,0.75000,0.18517,2.41724,0.15284,0.87500
random_forest_probe_classifier,0.25,2,8,0.62500,1.00000,0.25650,0.12500,0.25000,0.00000,0.57876,2.01762,0.13629,0.37500
random_forest_probe_classifier,0.25,3,8,0.62500,0.87500,0.32696,0.25000,0.12500,0.25000,0.52907,2.11537,0.13366,0.37500
random_forest_probe_classifier,0.25,4,8,0.37500,0.87500,0.32292,0.37500,0.00000,0.50000,0.37278,2.39594,0.22137,0.62500
random_forest_probe_classifier,0.25,5,8,0.50000,0.87500,0.32575,0.12500,0.12500,0.37500,0.42526,2.15265,0.18369,0.50000
random_forest_probe_classifier,0.25,6,8,0.62500,1.00000,0.25412,0.12500,0.00000,0.25000,0.55497,2.12179,0.20395,0.37500
random_forest_probe_classifier,0.25,7,8,0.62500,1.00000,0.25631,0.00000,0.00000,0.37500,0.53187,2.00217,0.24637,0.37500
robust_impedance_planner,0.08,0,8,0.12500,0.87500,0.41561,0.25000,0.62500,0.62500,0.20780,2.32684,0.15471,0.87500
robust_impedance_planner,0.08,1,8,0.62500,1.00000,0.34986,0.12500,0.12500,0.25000,0.50621,2.12169,0.24980,0.37500
robust_impedance_planner,0.08,2,8,0.50000,1.00000,0.35305,0.12500,0.25000,0.50000,0.42353,2.20063,0.17163,0.50000
robust_impedance_planner,0.08,3,8,0.25000,1.00000,0.34996,0.50000,0.37500,0.50000,0.29105,2.43951,0.19339,0.75000
robust_impedance_planner,0.08,4,8,0.50000,1.00000,0.34559,0.25000,0.25000,0.25000,0.47600,2.15681,0.30124,0.50000
robust_impedance_planner,0.08,5,8,0.50000,0.87500,0.41613,0.37500,0.25000,0.50000,0.39993,2.37110,0.06616,0.50000
robust_impedance_planner,0.08,6,8,0.37500,0.87500,0.41166,0.37500,0.37500,0.50000,0.32760,2.32638,0.27553,0.62500
robust_impedance_planner,0.08,7,8,0.62500,0.87500,0.41429,0.00000,0.12500,0.37500,0.48682,2.05190,0.08489,0.37500
robust_impedance_planner,0.12,0,8,0.37500,0.87500,0.41316,0.25000,0.37500,0.37500,0.36607,2.24560,0.15301,0.62500
robust_impedance_planner,0.12,1,8,0.50000,1.00000,0.34978,0.25000,0.12500,0.50000,0.40564,2.25737,0.14505,0.50000
robust_impedance_planner,0.12,2,8,0.37500,1.00000,0.35212,0.25000,0.12500,0.50000,0.34792,2.28840,0.19400,0.62500
robust_impedance_planner,0.12,3,8,0.25000,1.00000,0.35218,0.37500,0.62500,0.50000,0.27954,2.37653,0.06460,0.75000
robust_impedance_planner,0.12,4,8,0.25000,0.87500,0.41040,0.25000,0.25000,0.37500,0.33193,2.19707,0.36714,0.75000
robust_impedance_planner,0.12,5,8,0.50000,1.00000,0.35466,0.37500,0.12500,0.37500,0.44022,2.37158,0.21995,0.50000
robust_impedance_planner,0.12,6,8,0.62500,0.87500,0.41208,0.25000,0.25000,0.25000,0.50069,2.18397,0.21852,0.37500
robust_impedance_planner,0.12,7,8,0.50000,0.87500,0.41074,0.25000,0.12500,0.50000,0.40342,2.21488,0.06897,0.50000
robust_impedance_planner,0.18,0,8,0.50000,1.00000,0.34277,0.25000,0.37500,0.25000,0.47599,2.12575,0.29255,0.50000
robust_impedance_planner,0.18,1,8,0.50000,1.00000,0.34797,0.25000,0.25000,0.37500,0.42561,2.21551,0.14451,0.50000
robust_impedance_planner,0.18,2,8,0.25000,1.00000,0.35150,0.62500,0.25000,0.50000,0.28414,2.54932,0.19185,0.75000
robust_impedance_planner,0.18,3,8,0.37500,0.87500,0.41362,0.12500,0.37500,0.37500,0.36907,2.16223,0.13527,0.62500
robust_impedance_planner,0.18,4,8,0.25000,0.87500,0.41569,0.25000,0.12500,0.62500,0.26793,2.30971,0.20281,0.75000
robust_impedance_planner,0.18,5,8,0.62500,1.00000,0.34957,0.12500,0.00000,0.25000,0.52439,2.11320,0.27832,0.37500
robust_impedance_planner,0.18,6,8,0.50000,0.87500,0.41388,0.12500,0.25000,0.50000,0.38821,2.17550,0.12604,0.50000
robust_impedance_planner,0.18,7,8,0.62500,0.87500,0.41146,0.25000,0.25000,0.37500,0.48092,2.22242,0.14790,0.37500
robust_impedance_planner,0.25,0,8,0.75000,1.00000,0.34509,0.12500,0.12500,0.25000,0.56423,2.06379,0.16658,0.25000
robust_impedance_planner,0.25,1,8,0.12500,0.87500,0.40917,0.50000,0.12500,0.75000,0.15466,2.43609,0.09502,0.87500
robust_impedance_planner,0.25,2,8,0.50000,1.00000,0.34610,0.25000,0.37500,0.37500,0.42276,2.19488,0.22238,0.50000
robust_impedance_planner,0.25,3,8,0.62500,0.87500,0.40761,0.25000,0.00000,0.12500,0.53514,2.10157,0.44789,0.37500
robust_impedance_planner,0.25,4,8,0.50000,1.00000,0.35547,0.25000,0.12500,0.37500,0.45827,2.28770,0.24443,0.50000
robust_impedance_planner,0.25,5,8,0.25000,1.00000,0.35028,0.37500,0.62500,0.37500,0.32597,2.32850,0.38409,0.75000
robust_impedance_planner,0.25,6,8,0.62500,1.00000,0.35160,0.25000,0.37500,0.12500,0.55294,2.19607,0.25943,0.37500
robust_impedance_planner,0.25,7,8,0.50000,1.00000,0.34621,0.37500,0.25000,0.37500,0.44094,2.27832,0.20831,0.50000
